"raceID","driverID","finishOrder"
18,1,1
18,2,2
18,3,3
18,4,4
18,5,5
18,6,6
18,7,7
18,8,8
18,9,9
18,10,10
18,11,11
18,12,12
18,13,13
18,14,14
18,15,15
18,16,16
18,17,17
18,18,18
18,19,19
18,20,20
18,21,21
18,22,22
19,8,1
19,9,2
19,5,3
19,15,4
19,1,5
19,2,6
19,17,7
19,4,8
19,14,9
19,18,10
19,12,11
19,21,12
19,22,13
19,3,14
19,19,15
19,11,16
19,6,17
19,20,18
19,13,19
19,16,20
19,10,21
19,7,22
20,13,1
20,8,2
20,9,3
20,2,4
20,5,5
20,15,6
20,17,7
20,3,8
20,10,9
20,4,10
20,22,11
20,21,12
20,1,13
20,6,14
20,7,15
20,19,16
20,11,17
20,14,18
20,16,19
20,12,20
20,18,21
20,20,22
21,8,1
21,13,2
21,1,3
21,9,4
21,17,5
21,18,6
21,6,7
21,15,8
21,2,9
21,21,10
21,10,11
21,14,12
21,11,13
21,3,14
21,4,15
21,22,16
21,5,17
21,19,18
21,7,19
21,12,20
21,16,21
21,20,22
22,13,1
22,1,2
22,8,3
22,9,4
22,2,5
22,4,6
22,17,7
22,3,8
22,14,9
22,15,10
22,18,11
22,5,12
22,10,13
22,22,14
22,12,15
22,16,16
22,20,17
22,7,18
22,6,19
22,21,20
23,1,1
23,9,2
23,13,3
23,17,4
23,20,5
23,22,6
23,6,7
23,5,8
23,8,9
23,4,10
23,18,11
23,10,12
23,15,13
23,2,14
23,16,15
23,3,16
23,12,17
23,21,18
23,14,19
23,7,20
24,9,1
24,2,2
24,14,3
24,10,4
24,13,5
24,15,6
24,22,7
24,20,8
24,5,9
24,3,10
24,18,11
24,17,12
24,7,13
24,21,14
24,6,15
24,4,16
24,12,17
24,8,18
24,1,19
24,16,20
25,13,1
25,8,2
25,15,3
25,5,4
25,9,5
25,17,6
25,12,7
25,4,8
25,14,9
25,1,10
25,10,11
25,20,12
25,2,13
25,22,14
25,6,15
25,3,16
25,7,17
25,21,18
25,16,19
25,18,20
26,1,1
26,2,2
26,22,3
26,8,4
26,5,5
26,4,6
26,15,7
26,6,8
26,3,9
26,17,10
26,7,11
26,10,12
26,13,13
26,9,14
26,18,15
26,12,16
26,21,17
26,16,18
26,20,19
26,14,20
27,1,1
27,12,2
27,13,3
27,2,4
27,5,5
27,8,6
27,9,7
27,20,8
27,15,9
27,3,10
27,4,11
27,7,12
27,14,13
27,6,14
27,16,15
27,21,16
27,18,17
27,22,18
27,17,19
27,10,20
28,5,1
28,10,2
28,8,3
28,4,4
28,1,5
28,12,6
28,15,7
28,9,8
28,17,9
28,2,10
28,14,11
28,18,12
28,6,13
28,3,14
28,21,15
28,22,16
28,13,17
28,7,18
28,16,19
28,20,20
29,13,1
29,1,2
29,9,3
29,5,4
29,15,5
29,20,6
29,10,7
29,3,8
29,2,9
29,7,10
29,12,11
29,17,12
29,18,13
29,21,14
29,6,15
29,22,16
29,14,17
29,8,18
29,16,19
29,4,20
30,13,1
30,2,2
30,1,3
30,4,4
30,20,5
30,9,6
30,7,7
30,17,8
30,10,9
30,5,10
30,14,11
30,3,12
30,16,13
30,6,14
30,18,15
30,15,16
30,21,17
30,8,18
30,22,19
30,12,20
31,20,1
31,5,2
31,9,3
31,4,4
31,2,5
31,13,6
31,1,7
31,17,8
31,8,9
31,12,10
31,10,11
31,6,12
31,15,13
31,3,14
31,18,15
31,14,16
31,22,17
31,7,18
31,16,19
31,21,20
32,4,1
32,3,2
32,1,3
32,10,4
32,20,5
32,2,6
32,14,7
32,6,8
32,18,9
32,5,10
32,9,11
32,7,12
32,13,13
32,21,14
32,8,15
32,15,16
32,16,17
32,17,18
32,22,19
32,12,20
33,4,1
33,9,2
33,8,3
33,12,4
33,15,5
33,20,6
33,13,7
33,17,8
33,2,9
33,7,10
33,3,11
33,1,12
33,22,13
33,18,14
33,6,15
33,21,16
33,5,17
33,16,18
33,10,19
33,14,20
34,1,1
34,13,2
34,8,3
34,4,4
34,2,5
34,9,6
34,10,7
34,12,8
34,20,9
34,14,10
34,22,11
34,6,12
34,7,13
34,17,14
34,3,15
34,18,16
34,21,17
34,5,18
34,16,19
34,15,20
35,13,1
35,4,2
35,8,3
35,20,4
35,1,5
35,10,6
35,5,7
35,15,8
35,17,9
35,2,10
35,9,11
35,3,12
35,18,13
35,7,14
35,22,15
35,16,16
35,6,17
35,21,18
35,12,19
35,14,20
36,8,1
36,4,2
36,1,3
36,2,4
36,21,5
36,13,6
36,3,7
36,23,8
36,15,9
36,5,10
36,22,11
36,11,12
36,17,13
36,24,14
36,18,15
36,19,16
36,16,17
36,25,18
36,14,19
36,9,20
36,26,21
36,27,22
37,4,1
37,1,2
37,8,3
37,2,4
37,13,5
37,21,6
37,15,7
37,5,8
37,25,9
37,17,10
37,22,11
37,18,12
37,11,13
37,26,14
37,23,15
37,19,16
37,24,17
37,9,18
37,3,19
37,14,20
37,27,21
37,16,22
38,13,1
38,1,2
38,8,3
38,2,4
38,4,5
38,9,6
38,15,7
38,21,8
38,5,9
38,3,10
38,25,11
38,23,12
38,22,13
38,27,14
38,16,15
38,19,16
38,17,17
38,14,18
38,11,19
38,24,20
38,18,21
38,26,22
39,13,1
39,1,2
39,4,3
39,9,4
39,14,5
39,3,6
39,5,7
39,11,8
39,21,9
39,22,10
39,19,11
39,18,12
39,16,13
39,27,14
39,2,15
39,23,16
39,24,17
39,26,18
39,8,19
39,15,20
39,17,21
39,25,22
40,4,1
40,1,2
40,13,3
40,21,4
40,9,5
40,2,6
40,25,7
40,8,8
40,26,9
40,22,10
40,18,11
40,3,12
40,5,13
40,14,14
40,15,15
40,23,16
40,11,17
40,19,18
40,27,19
40,16,20
40,17,21
40,24,22
41,1,1
41,2,2
41,25,3
41,5,4
41,8,5
41,11,6
41,4,7
41,23,8
41,17,9
41,3,10
41,19,11
41,22,12
41,15,13
41,24,14
41,27,15
41,14,16
41,9,17
41,16,18
41,26,19
41,18,20
41,13,21
41,21,22
42,1,1
42,4,2
42,13,3
42,8,4
42,5,5
42,15,6
42,17,7
42,20,8
42,21,9
42,25,10
42,19,11
42,18,12
42,26,13
42,16,14
42,27,15
42,3,16
42,24,17
42,2,18
42,11,19
42,14,20
42,22,21
42,23,22
43,8,1
43,13,2
43,1,3
43,9,4
43,2,5
43,21,6
43,4,7
43,18,8
43,3,9
43,23,10
43,22,11
43,17,12
43,14,13
43,25,14
43,5,15
43,11,16
43,16,17
43,26,18
43,27,19
43,19,20
43,15,21
43,24,22
44,8,1
44,4,2
44,1,3
44,9,4
44,13,5
44,2,6
44,5,7
44,21,8
44,22,9
44,18,10
44,14,11
44,3,12
44,25,13
44,11,14
44,27,15
44,24,16
44,15,17
44,19,18
44,26,19
44,23,20
44,16,21
44,17,22
45,4,1
45,13,2
45,17,3
45,25,4
45,14,5
45,2,6
45,9,7
45,5,8
45,1,9
45,21,10
45,22,11
45,19,12
45,15,13
45,8,14
45,11,15
45,23,16
45,28,17
45,18,18
45,16,19
45,3,20
45,26,21
45,24,22
46,1,1
46,8,2
46,2,3
46,4,4
46,9,5
46,23,6
46,3,7
46,5,8
46,17,9
46,15,10
46,14,11
46,21,12
46,13,13
46,25,14
46,11,15
46,20,16
46,16,17
46,22,18
46,24,19
46,19,20
46,18,21
46,29,22
47,13,1
47,8,2
47,4,3
47,2,4
47,1,5
47,5,6
47,3,7
47,9,8
47,21,9
47,14,10
47,25,11
47,23,12
47,18,13
47,19,14
47,24,15
47,15,16
47,22,17
47,11,18
47,20,19
47,29,20
47,16,21
47,17,22
48,4,1
48,1,2
48,8,3
48,2,4
